,code,region
0,11,ACEH
1,11.01,KAB. ACEH SELATAN
2,11.01.01,Bakongan
3,11.01.01.2001,Keude Bakongan
4,11.01.01.2002,Ujong Mangki
5,11.01.01.2003,Ujong Padang
6,11.01.01.2004,Gampong Drien
7,11.01.01.2015,Darul Ikhsan
8,11.01.01.2016,Padang Beurahan
9,11.01.01.2017,Gampong Baro
10,11.01.02,Kluet Utara
11,11.01.02.2001,Fajar Harapan
12,11.01.02.2002,Krueng Batee
13,11.01.02.2003,Pasi Kuala Asahan
14,11.01.02.2004,Gunung Pulo
15,11.01.02.2005,Pulo Ie I
16,11.01.02.2006,Jambo Manyang
17,11.01.02.2007,Simpang Empat
18,11.01.02.2008,Limau Purut
19,11.01.02.2009,Pulo Kambing
20,11.01.02.2010,Kampung Paya
21,11.01.02.2011,Krueng Batu
22,11.01.02.2012,Krueng Kluet
23,11.01.02.2013,Alur Mas
24,11.01.02.2014,Kampung Tinggi
25,11.01.02.2015,Ruak
26,11.01.02.2016,Simpang Lhee
27,11.01.02.2017,Suaq Geuringgeng
28,11.01.02.2018,Pasi Kuala Ba'u
29,11.01.02.2019,Kedai Padang
30,11.01.02.2020,Kotafajar
31,11.01.02.2021,Gunung Pudung
32,11.01.03,Kluet Selatan
33,11.01.03.2001,Suaq Bakung
34,11.01.03.2002,Rantau Binuang
35,11.01.03.2003,Barat Daya
36,11.01.03.2004,Sialang
37,11.01.03.2005,Kapeh
38,11.01.03.2006,Pulo Ie
39,11.01.03.2007,Kedai Runding
40,11.01.03.2008,Kedai Kandang
41,11.01.03.2009,Gampong Luar
42,11.01.03.2010,Ujung
43,11.01.03.2011,Jua
44,11.01.03.2012,Pasi Meurapat
45,11.01.03.2013,Ujung Pasir
46,11.01.03.2014,Geulumbuk
47,11.01.03.2015,Pasie Lembang
48,11.01.03.2016,Ujung Padang
49,11.01.03.2017,Indra Damai
50,11.01.04,Labuhan Haji
51,11.01.04.2001,Bakau Hulu
52,11.01.04.2002,Padang Bakau
53,11.01.04.2003,Manggis Harapan
54,11.01.04.2004,Pasar Lama
55,11.01.04.2005,Apha
56,11.01.04.2006,Ujung Batu
57,11.01.04.2007,Pawoh
58,11.01.04.2008,Dalam
59,11.01.04.2009,Kota Palak
60,11.01.04.2010,Cacang
61,11.01.04.2011,Tengah Pisang
62,11.01.04.2012,Pisang
63,11.01.04.2013,Hulu Pisang
64,11.01.04.2014,Tengah Baru
65,11.01.04.2015,Lembah Baru
66,11.01.04.2016,Padang Baru
67,11.01.05,Meukek
68,11.01.05.2001,Kuta Buloh II
69,11.01.05.2002,Kuta Buloh I
70,11.01.05.2003,Ie Dingen
71,11.01.05.2004,Drien Jalo
72,11.01.05.2005,Jambo Papeun
73,11.01.05.2006,Buket Meuh
74,11.01.05.2007,Blang Kuala
75,11.01.05.2008,Rot Teungoh
76,11.01.05.2009,Alue Baro
77,11.01.05.2010,Ladang Tuha
78,11.01.05.2011,Lhok Mamplam
79,11.01.05.2012,Arun Tunggai
80,11.01.05.2013,Blang Teungoh
81,11.01.05.2014,Blang Bladeh
82,11.01.05.2015,Ie Buboh
83,11.01.05.2016,Keude Meukek
84,11.01.05.2017,Kuta Baro
85,11.01.05.2018,Tanjung Harapan
86,11.01.05.2019,Labuhan Tarok
87,11.01.05.2020,Lhok Aman
88,11.01.05.2021,Alue Meutuah
89,11.01.05.2022,Ladang Baro
90,11.01.05.2023,Labuhan Tarok II
91,11.01.06,Samadua
92,11.01.06.2001,Dalam
93,11.01.06.2002,Subarang
94,11.01.06.2003,Kuta Baru
95,11.01.06.2004,Gunung Ketek
96,11.01.06.2005,Ladang Panton Luas
97,11.01.06.2006,Madat
98,11.01.06.2007,Alur Seumerah
99,11.01.06.2008,Tengah
100,11.01.06.2009,Gunung Cut
101,11.01.06.2010,Alur Pinang
102,11.01.06.2011,Kuta Blang
103,11.01.06.2012,Batee Tunggai
104,11.01.06.2013,Ujung Tanah
105,11.01.06.2014,Ujung Kampung
106,11.01.06.2015,Jilatang
107,11.01.06.2016,Luar
108,11.01.06.2017,Lubuk Layu
109,11.01.06.2018,Suaq Hulu
110,11.01.06.2019,Tampang
111,11.01.06.2020,Payonan Gadang
112,11.01.06.2021,Gadang
113,11.01.06.2022,Baru
114,11.01.06.2023,Ladang Kasik Putih
115,11.01.06.2024,Air Sialang Hilir.
116,11.01.06.2025,Air Sialang Hulu
117,11.01.06.2026,Air Sialang Tengah
118,11.01.06.2027,Balai
119,11.01.06.2028,Arafah
120,11.01.07,Sawang
121,11.01.07.2001,Sikulat
122,11.01.07.2002,Sawang I
123,11.01.07.2003,Meuligo
